album,album_type,track_number,id_track,name,popularity,explicit,duration_ms,release_date,artists
Calcinha Preta: Edição Especial,album,1,28P5hnigrW5mQ2aZ439cEn,Quer Conhecer? Deixe!,22,False,228827,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,2,53tDhIui60U8H4CskOxOdM,Não Me Deixe Agora,24,False,293162,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,3,0OoMcqlselvg5wIhek1irs,Agora Estou Sofrendo,26,False,251580,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,4,7AARwThoxsUZ5iiIfSdkwK,Sem Explicação (I Will Be),23,False,221083,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,5,3lpaj83oEG9Sfx0vf4ckHv,Perdoar,24,False,186984,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,6,2PV6APJqyaONJh7He1vZX7,Encruzilhada,19,False,205938,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,7,6Mg7LpH6zD7Ma0HFmrqCd4,Renascerá,29,False,208979,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,8,7BzKHCjunMs0L0ZNBPYaJ0,Faço Chover,22,False,254027,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,9,38utheuQMj0Lkb8avqSfVs,Já Me Acostumei,21,False,249844,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,10,5eN4TRnQNQ3vIBQRZcrgTD,Homem de Rua,17,False,211416,2018-08-03,['Calcinha Preta']
Calcinha Preta: Edição Especial,album,11,3R1N133Q6PS623ngsz0IOU,Você Não Vale Nada,19,False,220000,2018-08-03,['Calcinha Preta']
Balada Prime,album,1,5SPDQIjMg9qrxGyu5i3OdZ,Balada Prime,29,False,184656,2015-12-14,"['Calcinha Preta', 'Gusttavo Lima']"
Balada Prime,album,2,5VUBX4x2S01Er7OzG01PFO,Chora,14,False,174384,2015-12-14,['Calcinha Preta']
Balada Prime,album,3,5QDWfVhDaOtBmNiSDi7fmh,Sapatinho de Cinderela,12,False,171552,2015-12-14,['Calcinha Preta']
Balada Prime,album,4,0FRQJv8reGBXH6q0UVZnjL,Você Mente,13,False,202056,2015-12-14,['Calcinha Preta']
Balada Prime,album,5,2m3MuBPQPP2u3c1RPIK0lP,Kit Sofrência,12,False,179400,2015-12-14,['Calcinha Preta']
Balada Prime,album,6,3cYKSGWa9bZwSGBf3uwLXU,Modo Avião,12,False,193056,2015-12-14,['Calcinha Preta']
Balada Prime,album,7,07lwcDQUbH2igoMByc6A7G,A Dona do Barraco,14,False,146448,2015-12-14,['Calcinha Preta']
Balada Prime,album,8,6KkYs7mwTrdwtSbjop82Sj,Que Tal?,11,False,221664,2015-12-14,['Calcinha Preta']
Balada Prime,album,9,2PZy0sxFxBq9Xsz6s3dtlD,O Amor Vai Derreter o Gelo,11,False,214560,2015-12-14,['Calcinha Preta']
Balada Prime,album,10,2BGTibv771Q8YaXbLTGRVY,Sai pra Lá Bobão,10,False,192048,2015-12-14,['Calcinha Preta']
Balada Prime,album,11,2ByLiWlt5XrrfwX5SJQ8sY,Simbora Mô,10,False,196416,2015-12-14,['Calcinha Preta']
Balada Prime,album,12,0XFOLdIQ8IDVX8jxOcPoYK,Como Eu Te Amei,11,False,202992,2015-12-14,['Calcinha Preta']
Balada Prime,album,13,2soq3SiK531D7gNgeECahf,Toda Noite,11,False,186984,2015-12-14,['Calcinha Preta']
Balada Prime,album,14,2SRcMa41CxUmX0PK3a1l4q,Marca da Saudade,9,False,261384,2015-12-14,['Calcinha Preta']
Balada Prime,album,15,6yG0B9dKcswDpGQo37nXMs,Rugas,9,False,209064,2015-12-14,['Calcinha Preta']
Balada Prime,album,16,5hRi4lycN2Dq0oC2qwFWpa,A Vida Segue,10,False,189168,2015-12-14,['Calcinha Preta']
Balada Prime,album,17,2yozywb9ir3BKGkSAj6UK5,12 de Junho,9,False,189960,2015-12-14,['Calcinha Preta']
Balada Prime,album,18,2GNiirx9qPv4IOzZ3T2d2G,Filmes e Histórias,12,False,213624,2015-12-14,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,1,332dRDtayv1fr33EdOgUTF,Filmes e Histórias,25,False,215197,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,2,04Qo4wZtjvx1AOYSA6sq7S,Onde Está,15,False,169692,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,3,6f5a2DbBRJllAhgtJtkrcO,Eu Quero Ser o Seu Amor,12,False,240458,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,4,1PxcELIHEu0NgEn7mT2f57,A Vida Segue,13,False,173950,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,5,37uxhOogKhdVA5GNiI0LBa,Eu Não Vou Desistir de Você,13,False,180977,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,6,6jzS9mWygmNCUTOhnlaYEe,Como Eu Te Amei,15,False,170841,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,7,59AoDIAznJKy0p29ateKfI,Simbora Mô,12,False,184347,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,8,5xhWpMABTGNPKt5md3MLGn,Você É Especial pra Mim,16,False,215563,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,9,7Ku0D3stwMcsbCcUFpN0LS,Toda Noite,13,False,187194,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,10,5hrdxbSLgIw9dEVs88Svao,"Não Chore, Não",12,False,202920,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,11,1JVJWmHq8XiWAb5CfUaRZH,A Casa Caiu,28,False,181604,2014-10-11,['Calcinha Preta']
"Filmes e Histórias, Vol. 28",album,12,68aIRAPHDu0vq5Hxoexk6B,O Mundo Pode Acabar,13,False,217287,2014-10-11,['Calcinha Preta']
